OID_;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstige;ULICHTVERH;IstGkfz;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;UIDENTSTLAE;IstStrassenzustand
163683;5;5;66;76;2021;4;12;7;3;5;3;1;1;0;0;0;0;0;392774,478075776249170;5792295,927406035363674;7,428555683000070;52,270573140000067;5210417709500160000;0
163684;5;5;66;76;2021;3;21;7;3;0;1;1;0;0;0;0;2;0;397348,816018381156027;5787912,413603834807873;7,496901751000053;52,232049414000073;5210320709500010000;1
163685;5;9;78;28;2021;3;14;4;3;0;6;1;1;0;0;0;0;0;400138,336190947331488;5697173,396878557279706;7,563909935000027;51,416968368000028;5210303317140070000;0
163688;5;3;74;32;2021;9;10;1;1;4;2;1;1;0;0;0;0;0;396789,593525371514261;5640165,171684086322784;7,532126474000052;50,903906479000057;5210926605132070000;0
163691;5;9;13;0;2021;10;13;5;3;5;3;1;1;0;0;0;0;0;393671,079999960958958;5707416,806999621912837;7,467859496000074;51,507865902000049;5211028301101370000;0
163693;5;9;13;0;2021;6;14;4;3;0;5;1;1;0;0;0;0;0;390415,510726101696491;5709324,976101748645306;7,420374151000033;51,524395086000027;5210616301201880000;0
163695;5;5;15;0;2021;5;13;5;3;1;1;1;1;0;0;0;0;0;402517,321721492335200;5758304,961941054090858;7,581028199000059;51,966876081000066;5210527702100280000;0
163697;5;5;15;0;2021;6;9;5;3;8;1;1;0;0;0;0;0;0;399897,487263676710427;5762429,264312880113721;7,541703016000042;52,003479991000063;5210610702100870000;0
163698;5;9;13;0;2021;7;18;6;3;0;7;1;0;0;0;0;0;0;391356,248226248659194;5703617,929551746696234;7,435686595000050;51,473279799000068;5210702301103480000;0
163702;5;9;78;24;2021;5;6;4;2;5;3;1;1;0;0;0;0;0;398111,296983441337943;5719493,748625956475735;7,528316656000072;51,617239632000064;5210512301301060000;0
163703;5;9;13;0;2021;3;15;4;3;4;3;1;1;0;0;0;0;0;394939,962999962270260;5709145,176999624818563;7,485621287000072;51,523638807000054;5210303301202880000;0
163705;5;9;13;0;2021;9;22;6;3;6;6;1;0;1;0;0;2;0;393359,025169717147946;5708139,544726770371199;7,463146080000058;51,514303404000032;5210917301101660000;0
163708;5;9;13;0;2021;3;7;4;3;5;3;1;1;0;0;0;0;0;398336,781851442530751;5704000,814271448180079;7,536049541000068;51,478018949000045;5210303301303080000;0
163713;5;9;13;0;2021;6;12;5;3;0;2;1;1;0;0;0;0;0;397359,501086313277483;5700426,371670758351684;7,523019419000036;51,445712532000073;5210603301102580000;0
163715;5;9;13;0;2021;5;16;5;2;1;7;1;1;0;0;0;0;0;394474,703026147559285;5705268,042651472613215;7,480077553000058;51,488702250000074;5210513301102180000;0
163717;5;9;13;0;2021;6;0;4;3;0;1;1;0;0;0;0;2;0;393903,866528257727623;5708019,865758135914803;7,471031055000026;51,513330256000074;5210630301101080000;1
