OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
107826;5;9;13;0;2019;5;16;2;3;6;7;0;1;1;1;0;0;0;393161,233317756090000;5707364,963863687600000;7,460531443000036;51,507303742000033;0
107834;5;5;66;8;2019;5;16;3;3;5;2;0;1;1;0;0;0;0;398980,264412261550000;5781279,055158175500000;7,522760572000038;52,172732819000032;0
107847;5;1;62;24;2019;5;9;3;3;3;6;0;1;0;0;0;1;0;338723,430953048170000;5673757,204317206500000;6,691924027000027;51,192439681000053;0
107865;5;3;58;24;2019;5;10;1;2;2;6;0;1;1;0;0;0;0;316716,957470860330000;5649902,569846382400000;6,389410720000058;50,971520741000063;0
107876;5;3;15;0;2019;5;14;1;3;1;3;0;1;1;0;0;0;0;352080,014786669050000;5643624,724456520800000;6,895246851000024;50,925273678000053;0
107877;5;3;15;0;2019;5;18;1;2;0;1;0;1;0;0;0;0;0;353915,308976771310000;5642252,404859509300000;6,921892393000064;50,913408697000079;0
107879;5;1;58;8;2019;5;15;1;2;0;1;0;1;0;0;0;0;0;362836,731000000610000;5675212,956000002100000;7,036223749000044;51,211819314000081;0
107880;5;1;58;32;2019;5;12;1;2;0;1;0;1;0;0;0;0;0;366001,753591774960000;5688283,814943838900000;7,076610332000030;51,330038850000051;0
107882;5;1;19;0;2019;5;15;1;3;5;2;0;1;1;0;0;0;0;349722,249159273690000;5705487,382989008000000;6,835817875000032;51,480552508000073;0
107887;5;7;70;20;2019;5;3;1;2;8;1;2;1;0;0;0;0;0;478937,928045156410000;5794955,632676802600000;8,691097844000069;52,304538279000042;0
107894;5;7;66;20;2019;5;9;1;3;5;3;0;1;1;0;0;0;0;492540,096000000830000;5753053,605999998700000;8,891508675000068;51,928160302000038;0
107896;5;1;16;0;2019;5;17;3;3;5;3;0;1;1;0;0;0;0;325520,165968366900000;5670048,162035713000000;6,504953248000049;51,155240644000060;0
107902;5;9;66;28;2019;5;14;1;2;0;1;0;1;0;0;0;0;0;418937,824721504930000;5648468,777591103700000;7,845196074000057;50,982097285000066;0
107904;5;9;15;0;2019;5;2;1;3;5;3;2;1;1;0;0;0;0;420615,401003787290000;5726243,776672113700000;7,851754196000059;51,681544416000065;0
