OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
166214;5220108601300493510;5;3;15;0;2022;1;8;7;2;0;1;0;2;1;0;0;0;0;0;352495,677999789011665;5644637,012999310158193;6,900747458000070;50,934477103000098
166221;5220110601400478473;5;3;15;0;2022;1;8;2;2;0;7;0;2;1;0;0;0;0;0;354610,081999804999214;5653510,632999350316823;6,927269810000040;51,014758211000100
166238;5220106300600275714;5;9;16;0;2022;1;8;5;3;0;1;0;2;1;0;0;0;0;0;377814,699999919976108;5714473,488999580033123;7,237037206000020;51,568081248000098
166252;5220110506100591423;5;1;16;0;2022;1;10;2;3;0;1;0;2;1;0;0;0;0;0;314556,816999380011111;5675271,582997649908066;6,345658377000060;51,198713100000099
166272;5220111303100264130;5;9;15;0;2022;1;13;3;2;0;7;0;1;1;1;0;0;0;0;418505,805373020004481;5730482,814000800251961;7,820256466000050;51,719349109000099
166281;5220102313110775338;5;9;58;4;2022;1;18;1;3;0;1;2;0;1;0;0;0;0;0;435036,332542527990881;5695754,230652879923582;8,065939968000070;51,409283131999999
166282;5220108601300075550;5;3;15;0;2022;1;9;7;3;0;1;0;2;1;0;0;0;0;0;348944,537525489984546;5646231,154967890121043;6,849584922000080;50,947883318999999
166291;5220110601400390400;5;3;15;0;2022;1;5;2;3;0;1;2;2;1;0;0;0;0;0;353000,909999793977477;5654543,879999320022762;6,903926426000060;51,023634366000103
166297;5220107705000674659;5;5;54;48;2022;1;21;6;3;4;6;2;1;1;0;0;0;0;0;341459,860593982972205;5744572,607033560052514;6,699207940000060;51,829450247000104
166303;5220104607400086629;5;3;82;68;2022;1;21;3;3;0;1;2;1;1;0;0;0;0;0;370683,684540858026594;5630909,964818609878421;7,164297991000070;50,815462971999999
166304;5220110514215695938;5;1;66;28;2022;1;11;2;3;0;1;0;2;1;0;0;0;0;0;326276,178999543015379;5688102,122998439706862;6,506997558000020;51,317661020000102
166310;5220106701800510778;5;5;62;4;2022;1;9;5;3;0;1;0;2;1;0;0;0;0;0;385014,901999939000234;5714598,794999600388110;7,340836681000040;51,570721792000001
166322;5220105317120389449;5;9;78;16;2022;1;17;4;3;0;5;2;1;1;0;1;0;0;0;404012,072018794016913;5706293,356767590157688;7,617123980000030;51,499618451000103
166323;5220110513210981042;5;1;62;24;2022;1;9;2;3;0;1;0;2;1;0;0;0;0;0;342527,211999711988028;5667734,732999100349844;6,748952355000030;51,139386832000099
166328;5220111610221471751;5;3;70;20;2022;1;10;3;3;3;6;0;1;1;0;0;0;0;0;304706,746999213006347;5658909,291996690444648;6,213706239000030;51,048471599999999
166330;5220106610212285813;5;3;70;28;2022;1;22;5;3;0;2;2;0;1;1;0;0;0;0;297466,852999068971258;5644876,119995770044625;6,118370377000080;50,919931442000099
166336;5220103602700890703;5;3;62;28;2022;1;17;2;3;4;6;2;1;1;0;0;0;0;0;351122,165999779012054;5638756,159999299794436;6,883612886000040;50,881275922999997
166346;5220106506100091500;5;1;16;0;2022;1;8;5;2;0;1;0;2;1;0;0;0;0;0;323175,858778928988613;5673466,054950140416622;6,469783898000060;51,185225631999998
166350;5220103310220916858;5;9;54;8;2022;1;17;2;3;5;3;2;1;1;1;0;0;0;0;382836,014999934006482;5683653,364999580197036;7,319648236000030;51,292137551000103
166351;5220108705000996572;5;5;54;64;2022;1;2;7;2;0;7;2;2;1;0;0;0;0;0;361349,663149071973749;5750885,605420639738441;6,985116356000050;51,891467225000000
166357;5220105601200581775;5;3;15;0;2022;1;19;4;3;2;2;2;1;1;1;0;0;0;0;356611,791499172977637;5641875,174937579780817;6,960372842000030;50,910694772000099
166358;5220110701910716782;5;5;62;8;2022;1;7;2;3;5;5;2;2;1;1;0;0;0;0;384648,168999938003253;5722728,094999610446393;7,332872741000070;51,643711068000101
166381;5220106518100486048;5;1;70;48;2022;1;8;5;2;0;1;1;2;1;0;0;0;0;0;337994,599999679019675;5725672,926998930051923;6,657765369000060;51,658665122000102
166395;5220106500200595466;5;1;11;0;2022;1;7;5;3;6;4;1;1;1;0;1;0;0;0;345230,494111077976413;5679237,548691979609430;6,782606785000040;51,243482244000099
166400;5220102702100970629;5;5;15;0;2022;1;17;1;3;1;5;2;1;1;1;0;0;0;0;406978,868573818996083;5757141,050414130091667;7,646266282000060;51,957178780000000
166401;5220108601600387472;5;3;15;0;2022;1;9;7;3;0;1;0;2;1;0;0;0;0;0;360773,679064641008154;5640592,293968809768558;7,020024605000060;50,900184068000002
166410;5220110506100362199;5;1;16;0;2022;1;11;2;3;0;1;0;2;1;0;0;0;0;0;319875,728999455983285;5670877,748998070135713;6,423909063000050;51,160944266999998
166418;5220106508000281329;5;1;19;0;2022;1;14;5;3;0;3;0;0;1;1;0;0;0;0;349984,612885732029099;5702524,186941330321133;6,840850938000070;51,453996694000097
166423;5220108501323982186;5;1;12;0;2022;1;11;7;3;5;3;0;0;1;1;0;0;0;0;344296,259999729983974;5694889,492999140173197;6,762398938000050;51,383863443000102
