OID_;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;PLST
42717;5230706307000599568;5;9;62;48;2023;7;13;5;2;0;1;0;0;1;0;0;0;0;0;415606,096900000236928;5681970,617900000885129;7,789896124000052;51,282810146000031;1
42722;5230706300800096575;5;9;54;36;2023;7;15;5;2;5;3;0;0;1;1;0;0;0;0;384314,247100000269711;5698858,533099999651313;7,335892886000067;51,429106244000081;1
42724;5230706300500986173;5;9;11;0;2023;7;18;5;3;1;5;0;0;1;1;0;0;0;0;375339,378800000064075;5703225,667899999767542;7,205318979000026;51,466452156000059;1
42725;5230706300500061175;5;9;11;0;2023;7;17;5;3;5;3;0;0;1;1;0;0;0;0;376840,391900000162423;5703588,001599999144673;7,226790910000034;51,470037278000063;1
42728;5230706300100790973;5;9;11;0;2023;7;15;5;2;0;1;0;0;1;0;0;0;0;0;377524,207399999722838;5706959,400200000032783;7,235461764000036;51,500486099000057;1
42734;5230705702100068126;5;5;15;0;2023;7;7;4;3;0;2;0;1;1;1;0;0;0;0;406246,396499999798834;5757691,192399999126792;7,635459740000044;51,962000701000079;1
42735;5230705701910987076;5;5;62;8;2023;7;16;4;3;0;1;0;1;1;0;0;0;0;0;385100,143099999986589;5723287,862900000065565;7,339218093000056;51,648834638000039;1
42749;5230705602500880844;5;3;62;24;2023;7;16;4;3;5;7;0;1;1;1;0;0;0;0;345828,272099999710917;5643550,624900000169873;6,806390433000047;50,922971085000029;1
42754;5230705601500987054;5;3;15;0;2023;7;13;4;3;0;1;0;0;1;0;0;0;0;0;357453,269399999640882;5644684,763800000771880;6,971236134000037;50,936152912000068;1
42756;5230705601500286500;5;3;15;0;2023;7;22;4;3;0;1;2;1;1;0;0;0;0;0;360013,011599999852479;5648034,100700000301003;7,006355469000027;50,966880881000066;1
42757;5230705601400886403;5;3;15;0;2023;7;19;4;2;9;1;0;0;1;1;0;0;0;0;355501,377799999900162;5648336,585599999874830;6,942025870000066;50,968485235000060;1
42759;5230705601300245683;5;3;15;0;2023;7;10;4;2;0;1;0;0;1;0;0;0;0;0;353684,040199999697506;5646385,076500000432134;6,916945850000047;50,950489036000079;1
42761;5230705601200487597;5;3;15;0;2023;7;22;4;3;0;1;2;1;1;0;0;0;0;0;353452,475499999709427;5643036,016899999231100;6,914998278000041;50,920333427000060;1
42770;5230705503400707478;5;1;22;0;2023;7;16;4;3;0;7;0;1;1;0;0;0;0;0;362250,691100000403821;5667912,853299999609590;7,030636892000075;51,146072968000055;1
42772;5230705503200469116;5;1;24;0;2023;7;18;4;3;0;1;0;0;1;0;0;0;0;0;373512,063000000081956;5678840,810000000521541;7,187697180000043;51,246889594000038;1
42783;5230705500200945454;5;1;11;0;2023;7;18;4;3;5;2;0;0;1;1;0;0;0;0;347224,126799999736249;5681274,208000000566244;6,810277696000071;51,262320138000064;1
42784;5230705410230987063;5;7;70;4;2023;7;7;4;2;3;3;0;1;1;1;0;0;0;0;484996,581000000238419;5785055,573000000789762;8,780394957000055;52,215730810000082;1
42786;5230705406220987068;5;7;58;24;2023;7;9;4;3;5;3;0;0;1;1;0;0;0;0;480219,258500000461936;5785253,773900000378489;8,710458553000024;52,217361918000051;1
42787;5230705405228084968;5;7;54;28;2023;7;13;4;2;4;1;0;0;1;0;0;0;0;0;450561,573800000362098;5745502,562899999320507;8,282116565000024;51,858127759000070;1
42789;5230705404302496907;5;7;66;8;2023;7;18;4;3;5;2;0;0;1;1;0;0;0;0;483254,636900000274181;5769582,266599999740720;8,755660964000072;52,076565498000036;1
42796;5230705310130984904;5;9;54;20;2023;7;15;4;3;0;7;0;0;1;0;0;0;0;0;390693,770100000314415;5696807,612500000745058;7,428254900000070;51,411938167000073;1
42798;5230705303100087443;5;9;15;0;2023;7;17;4;3;5;2;0;1;1;1;0;0;0;0;418316,540099999867380;5728416,307399999350309;7,818001563000053;51,700744736000047;1
42801;5230705301202089548;5;9;13;0;2023;7;17;4;3;7;7;0;0;1;0;1;0;0;0;393475,627999999560416;5708627,377000000327826;7,464678402000061;51,518710270000042;1
42809;5230704711100581966;5;5;70;32;2023;7;8;3;3;0;3;0;0;1;1;0;0;0;0;420581,019000000320375;5766044,591000000014901;7,842107375000069;52,039322996000067;1
42814;5230704709300596684;5;5;66;68;2023;7;12;3;3;5;2;0;1;1;1;0;0;0;0;375543,694500000216067;5783230,672100000083447;7,179494701000067;52,185482524000065;1
42815;5230704702100096747;5;5;15;0;2023;7;21;3;3;5;3;0;0;1;1;0;0;0;0;406130,866299999877810;5757703,383600000292063;7,633775436000064;51,962090787000079;1
42818;5230707607300595346;5;3;82;76;2023;7;11;6;3;3;5;0;0;1;1;0;0;0;0;402084,651100000366569;5628136,596000000834465;7,610625884000058;50,796691022000061;1
42821;5230711500100690800;5;1;11;0;2023;7;16;3;3;5;2;0;0;1;1;0;0;0;0;346883,669200000353158;5675333,350500000640750;6,807941154000048;51,208846975000029;1
42825;5230704608200289862;5;3;34;2;2023;7;20;3;3;7;1;0;1;1;1;0;0;0;0;295809,485999999567866;5629526,503000000491738;6,103379549000067;50,781489518000058;1
42829;5230704606700281860;5;3;78;8;2023;7;19;3;2;0;1;0;0;1;0;0;0;0;0;368126,330799999646842;5662695,211100000888109;7,116498117000049;51,100563576000070;1
42834;5230704602800685807;5;3;62;12;2023;7;23;3;3;0;7;2;1;1;0;0;0;0;0;349566,040099999867380;5633718,733100000768900;6,863578361000066;50,835604274000048;1
42835;5230704602400290187;5;3;62;32;2023;7;4;3;3;0;6;1;0;1;0;0;1;0;0;339591,418399999849498;5639255,218100000172853;6,719611177000047;50,882674465000036;1
42837;5230704602100269626;5;3;62;8;2023;7;14;3;3;5;3;0;0;1;1;0;0;0;0;337230,696399999782443;5652366,860600000247359;6,680221822000021;50,999825444000066;1
42844;5230704601500278250;5;3;15;0;2023;7;19;3;3;5;2;0;0;1;1;0;0;0;0;361426,745000000111759;5647871,160000000149012;7,026538585000026;50,965758314000027;1
42846;5230704601200186368;5;3;15;0;2023;7;7;3;3;0;7;0;0;1;0;0;0;0;0;353449,811400000005960;5643097,340700000524521;6,914935761000038;50,920883847000027;1
42847;5230704601100899101;5;3;15;0;2023;7;10;3;3;1;5;0;0;1;1;0;0;0;0;354896,340400000102818;5644675,764699999243021;6,934873860000039;50,935434357000076;1
42851;5230704600340095320;5;3;82;64;2023;7;16;3;3;5;3;0;0;1;1;0;0;0;0;350430,903599999845028;5613419,048000000417233;6,884093545000042;50,653400560000080;1
42858;5230704515110540482;5;1;54;36;2023;7;8;3;3;0;1;0;1;1;0;0;0;0;0;301354,657999999821186;5740046,633999999612570;6,120493176000025;51,775990760000070;1
42860;5230704513210590180;5;1;62;24;2023;7;10;3;3;0;1;0;0;1;0;0;0;0;0;338628,011199999600649;5675614,480599999427795;6,689724640000065;51,209100143000057;1
42872;5230704503200496896;5;1;24;0;2023;7;9;3;3;5;3;0;0;1;1;0;0;0;0;376377,599999999627471;5683150,085300000384450;7,227243001000033;51,286248735000072;1
42873;5230711701930575477;5;5;62;36;2023;7;11;3;2;1;7;0;0;1;1;0;0;0;0;388178,650200000032783;5720827,665599999949336;7,384482092000042;51,627343255000028;1
42874;5230707701110377693;5;5;62;32;2023;7;22;6;3;0;1;2;0;1;0;0;0;0;0;376410,757100000046194;5718473,617599999532104;7,215382483000042;51,603725368000028;1
42880;5230704502226381111;5;1;13;0;2023;7;9;3;3;6;6;0;0;1;0;1;0;0;0;360639,548000000417233;5696113,607999999076128;6,996622717000037;51,399112095000078;1
42886;5230704501115895573;5;1;12;0;2023;7;11;3;3;0;5;0;0;1;1;0;0;0;0;345889,516800000332296;5706742,452800000086427;6,780118090000030;51,490798111000061;1
42894;5230704410210896912;5;7;70;20;2023;7;18;3;3;0;1;0;1;1;0;0;0;0;0;474677,194600000046194;5793023,154200000688434;8,628755349000073;52,286984744000051;1
42897;5230704407200582070;5;7;62;4;2023;7;21;3;3;0;1;0;0;1;0;0;0;0;0;501624,680999999865890;5731442,734999999403954;9,023526719000074;51,733899883000049;1
42899;5230704405236987047;5;7;54;36;2023;7;15;3;3;2;6;0;0;1;0;0;0;0;1;474371,629999999888241;5750162,994999999180436;8,627498961000072;51,901631085000076;1
42900;5230704405140270600;5;7;54;40;2023;7;14;3;3;6;7;0;0;1;0;1;0;0;0;459551,805999999865890;5761605,435000000521541;8,410760184000026;52,003626186000076;1
42901;5230704404302987048;5;7;66;8;2023;7;17;3;3;5;3;0;0;1;1;0;0;0;0;483624,100200000219047;5769476,070299999788404;8,761057014000073;52,075621764000061;1
42903;5230704404101987035;5;7;66;20;2023;7;5;3;3;0;1;0;1;1;0;0;0;0;0;492138,752999999560416;5753194,017000000923872;8,885668643000031;51,929417221000051;1
42904;5230704400200894410;5;7;11;0;2023;7;19;3;2;3;3;0;0;1;1;0;0;0;0;469460,999599999748170;5764566,112099999561906;8,554845402000069;52,030878230000042;1
42907;5230704303100069763;5;9;15;0;2023;7;11;3;3;5;3;0;0;1;0;0;0;0;1;417934,694000000134110;5725956,092000000178814;7,813055985000062;51,678572910000071;1
42914;5230703711300682313;5;5;70;48;2023;7;16;2;3;0;6;0;0;1;0;0;0;0;0;451231,610199999995530;5726186,768600000068545;8,294557883000039;51,684525655000073;1
42916;5230703705000987030;5;5;54;4;2023;7;19;2;3;0;7;0;0;1;0;0;0;0;1;362780,894000000320375;5771674,888000000268221;6,997585044000061;52,078623665000066;1
42918;5230703702100291735;5;5;15;0;2023;7;13;2;3;0;4;0;0;1;0;1;0;0;0;406629,642300000414252;5758708,403400000184774;7,640759396000021;51,971208374000071;1
42920;5230703701400189645;5;5;12;0;2023;7;7;2;3;5;3;0;0;1;1;0;0;0;0;357884,095999999903142;5711680,471599999815226;6,950779191000038;51,538312931000064;1
42923;5230703701300778100;5;5;62;14;2023;7;1;2;3;0;1;2;0;1;0;0;0;0;0;357561,223899999633431;5713672,188200000673532;6,945320472000049;51,556128860000058;1
42924;5230703701200089503;5;5;62;20;2023;7;9;2;3;3;2;0;0;1;0;0;0;0;0;371573,566599999554455;5717916,793299999088049;7,145776417000036;51,597638944000039;1
