OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
205586;5200417508000476288;5;1;19;0;2020;4;12;6;3;5;3;0;1;1;0;0;0;0;351947,451299999840000;5712657,921000000100000;6,864828050000028;51,545569937000039;0
205587;5200415501324733204;5;1;12;0;2020;4;21;4;3;5;3;2;1;1;0;0;0;0;343872,424399999900000;5694815,137000000100000;6,756345738000050;51,383078933000036;0
205588;5200417515111469813;5;1;54;44;2020;4;8;6;3;5;3;0;1;1;0;0;0;0;324522,626000000160000;5738797,358999999200000;6,456580247000034;51,772512156000062;0
205589;5200415501314703201;5;1;12;0;2020;4;16;4;3;0;6;0;1;1;0;0;0;0;345887,455799999650000;5700698,660299999600000;6,782722921000072;51,436493851000080;0
205590;5200416702100372460;5;5;15;0;2020;4;15;5;3;5;2;0;1;1;0;0;0;0;405321,150500000450000;5760414,911000000300000;7,621246038000038;51,986325762000035;0
205591;5200418515211853112;5;1;54;16;2020;4;16;7;3;0;1;0;1;0;0;0;0;0;303835,628200000150000;5728602,017200000600000;6,162854496000023;51,674089273000050;1
205592;5200419513310775920;5;1;62;8;2020;4;18;1;3;0;3;0;1;0;0;0;0;0;336756,593899999750000;5667021,423100000200000;6,666857503000074;51,131361763000029;0
205595;5200417700000508171;5;5;13;0;2020;4;7;6;3;4;2;0;1;1;0;0;0;0;364752,678600000220000;5712937,174100000400000;7,049273434000043;51,551293737000037;0
205596;5200415501223682208;5;1;12;0;2020;4;16;4;2;5;2;0;1;1;0;0;0;0;338901,095999999900000;5703050,869000000900000;6,681223276000026;51,455683733000058;0
205599;5200419301404127204;5;9;13;0;2020;4;15;1;3;0;1;0;1;0;0;0;0;0;395093,824900000360000;5700674,709000000700000;7,490355108000074;51,447529586000030;0
205600;5200415500200873201;5;1;11;0;2020;4;13;4;3;5;7;0;1;1;0;0;0;0;346997,827899999920000;5676661,788200000300000;6,809007470000040;51,220814363000045;0
205601;5200416601300155778;5;3;15;0;2020;4;19;5;3;5;3;0;1;1;0;0;0;0;351684,521599999630000;5648532,936699999500000;6,887624489000075;50,969279644000039;0
